timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1798258.0,434675.84,2232933.8,1363582.1,1825199.487918067,1771316.512081933
1,1798268.5,434676.75,2232945.2,1363591.8,1825210.0440880242,1771326.9559119758
2,1798280.8,434676.34,2232957.0,1363604.4,1825222.2689083882,1771339.2310916118
3,1798293.5,434677.0,2232970.5,1363616.5,1825235.0595831845,1771351.9404168155
4,1798304.8,434677.47,2232982.2,1363627.2,1825246.3386366107,1771363.1613633893
5,1798318.1,434677.38,2232995.5,1363640.8,1825259.7078259254,1771376.5421740746
6,1798330.8,434677.6,2233008.2,1363653.1,1825272.346384191,1771389.153615809
7,1798346.1,434676.8,2233023.0,1363669.2,1825287.672961814,1771404.577038186
8,1798359.0,434677.28,2233036.2,1363681.8,1825300.5770152402,1771417.4229847598
9,1798373.6,434676.6,2233050.2,1363697.0,1825315.1594035488,1771432.0905964512
10,1798389.4,434676.0,2233065.5,1363713.4,1825330.8726025424,1771447.8773974576
11,1798406.6,434675.0,2233081.5,1363731.6,1825348.0606219003,1771465.1893780997
12,1798423.2,434673.53,2233096.8,1363749.8,1825364.5945878322,1771481.9054121678
13,1798439.6,434670.88,2233110.5,1363768.8,1825380.8049517516,1771498.4450482484
14,1798458.6,434669.62,2233128.2,1363789.0,1825399.7274759489,1771517.5225240511
15,1798477.8,434666.22,2233144.0,1363811.5,1825418.6413543865,1771536.8586456135
16,1798498.5,434661.97,2233160.5,1363836.5,1825439.1279366575,1771557.8720633425
17,1798518.1,434658.78,2233177.0,1363859.4,1825458.5553733606,1771577.6946266394
18,1798536.1,434656.16,2233192.2,1363880.0,1825476.392674175,1771595.857325825
19,1798555.4,434654.34,2233209.8,1363901.0,1825495.5303342612,1771615.2196657388
20,1798574.4,434651.44,2233225.8,1363923.0,1825514.35020302,1771634.39979698
21,1798597.8,434648.6,2233246.2,1363949.1,1825537.5489455687,1771657.9510544313
22,1798620.2,434644.97,2233265.2,1363975.2,1825559.824265741,1771680.675734259
23,1798643.0,434640.62,2233283.5,1364002.4,1825582.3050373269,1771703.6949626731
24,1798667.2,434637.75,2233305.0,1364029.5,1825606.3768429807,1771728.1231570193
25,1798693.8,434634.88,2233328.5,1364058.9,1825632.6986486346,1771754.8013513654
26,1798719.0,434630.8,2233349.8,1364088.2,1825657.6968522759,1771780.3031477241
27,1798749.1,434625.47,2233374.5,1364123.6,1825687.4906432193,1771810.7593567807
28,1798778.4,434622.03,2233400.5,1364156.4,1825716.527584762,1771840.222415238
29,1798809.1,434617.84,2233427.0,1364191.2,1825747.018040823,1771871.231959177
30,1798841.8,434612.78,2233454.5,1364229.0,1825779.3292638222,1771904.1707361778
31,1798873.8,434607.0,2233480.8,1364266.8,1825810.9709382348,1771936.5290617652
32,1798907.6,434602.62,2233510.2,1364305.0,1825844.5747729256,1771970.6752270744
33,1798943.2,434597.88,2233541.0,1364345.4,1825879.9053648754,1772006.5946351246
34,1798979.2,434593.6,2233572.8,1364385.6,1825915.6400102512,1772042.8599897488
35,1799013.1,434587.88,2233601.0,1364425.2,1825949.160558454,1772077.089441546
36,1799051.0,434582.1,2233633.0,1364468.9,1825986.6772328666,1772115.3227671334
37,1799091.8,434575.22,2233667.0,1364516.5,1826027.001115952,1772156.498884048
38,1799133.5,434568.28,2233701.8,1364565.2,1826068.321125247,1772198.678874753
39,1799174.5,434562.8,2233737.2,1364611.8,1826108.9821686104,1772240.0178313896
40,1799215.8,434555.88,2233771.5,1364659.9,1826149.8021779056,1772281.6978220944
41,1799257.9,434549.66,2233807.5,1364708.2,1826191.5417357872,1772324.2082642128
42,1799301.0,434545.38,2233846.5,1364755.6,1826234.401381163,1772367.598618837
43,1799343.2,434540.44,2233883.8,1364802.8,1826276.3453517423,1772410.1546482577
44,1799386.9,434534.72,2233921.5,1364852.1,1826319.6158999451,1772454.1341000549
45,1799431.0,434530.0,2233961.0,1364901.0,1826363.44842879,1772498.55157121
46,1799475.6,434525.06,2234000.8,1364950.5,1826407.7673993695,1772543.4826006305
47,1799521.6,434517.6,2234039.2,1365004.0,1826453.3044814486,1772589.9455185514
48,1799570.4,434510.34,2234080.8,1365060.0,1826501.605121793,1772639.144878207
49,1799619.0,434504.47,2234123.5,1365114.5,1826549.8659855204,1772688.1340144796
50,1799671.0,434496.72,2234167.8,1365174.2,1826601.3856355438,1772740.6143644562
51,1799721.5,434488.97,2234210.5,1365232.5,1826651.4052855673,1772791.5947144327
52,1799773.6,434482.06,2234255.8,1365291.5,1826703.1022317575,1772844.1477682425
53,1799826.1,434476.47,2234302.5,1365349.6,1826755.2555275406,1772896.9944724594
54,1799881.4,434469.7,2234351.0,1365411.8,1826810.085221311,1772952.664778689
55,1799937.9,434462.4,2234400.2,1365475.5,1826866.1339247606,1773009.6160752394
56,1799993.6,434453.28,2234447.0,1365540.4,1826921.318351401,1773065.931648599
57,1800053.9,434444.53,2234498.5,1365609.4,1826981.0260207823,1773126.7239792177
58,1800115.0,434437.44,2234552.5,1365677.5,1827041.711345602,1773188.288654398
59,1800179.4,434429.78,2234609.2,1365749.6,1827105.6118063107,1773253.1381936893
60,1800243.8,434422.0,2234665.8,1365821.8,1827169.504519439,1773317.995480561
61,1800308.9,434412.7,2234721.5,1365896.2,1827234.0523247092,1773383.6976752908
62,1800379.6,434401.88,2234781.5,1365977.8,1827304.132159016,1773455.117840984
63,1800450.9,434393.66,2234844.5,1366057.2,1827374.8727556134,1773526.8772443866
64,1800528.6,434387.84,2234916.5,1366140.8,1827452.262493131,1773604.987506869
65,1800605.8,434378.34,2234984.0,1366227.4,1827528.7986770307,1773682.7013229693
66,1800690.9,434370.6,2235061.5,1366320.2,1827613.4433270541,1773768.3066729459
67,1800779.5,434361.06,2235140.5,1366418.5,1827701.4775740588,1773857.5224259412
68,1800871.9,434352.78,2235224.8,1366519.1,1827793.339296866,1773950.410703134
69,1800967.0,434346.9,2235314.0,1366620.1,1827888.1001605934,1774045.8998394066
70,1801069.6,434340.53,2235410.2,1366729.1,1827990.3300339999,1774148.9199660001
71,1801177.6,434332.62,2235510.2,1366845.0,1828097.839999548,1774257.410000452
72,1801292.5,434321.9,2235614.5,1366970.6,1828212.05064454,1774372.94935546
73,1801413.4,434316.9,2235730.2,1367096.5,1828332.6157413293,1774494.1342586707
74,1801542.2,434307.1,2235849.2,1367235.1,1828460.8825562783,1774623.6174437217
75,1801678.0,434299.38,2235977.5,1367378.6,1828596.1541431968,1774759.8458568032
76,1801816.1,434293.44,2236109.5,1367522.8,1828733.911133134,1774898.338866866
77,1801967.4,434287.44,2236254.8,1367680.0,1828884.7892492812,1775049.9607507188
78,1802123.4,434276.8,2236400.2,1367846.5,1829040.1307049585,1775206.6192950415
79,1802287.1,434268.9,2236556.0,1368018.2,1829203.3906705065,1775370.8593294935
80,1802459.4,434258.9,2236718.2,1368200.5,1829375.0208640853,1775543.7291359147
81,1802643.2,434246.75,2236890.0,1368396.5,1829558.1424119042,1775728.3575880958
82,1802838.5,434233.16,2237071.8,1368605.4,1829752.54986255,1775924.45013745
83,1803039.0,434226.12,2237265.0,1368812.9,1829952.61406116,1776125.38593884
84,1803257.1,434217.9,2237475.0,1369039.2,1830170.2296577576,1776344.0203422424
85,1803491.9,434212.0,2237704.0,1369279.9,1830404.61358459,1776579.13641541
