timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,784585.1,293648.88,1078234.0,490936.25,802785.6708359831,766384.5791640169
1,784589.6,293650.72,1078240.4,490938.9,802790.285112792,766388.964887208
2,784598.4,293651.06,1078249.5,490947.3,802799.0564186377,766397.6935813623
3,784603.9,293655.22,1078259.1,490948.66,802804.8140256817,766402.9359743183
4,784610.25,293653.16,1078263.4,490957.1,802811.0611906073,766409.4388093927
5,784613.6,293653.75,1078267.4,490959.88,802814.4729916136,766412.7770083864
6,784619.5,293655.0,1078274.5,490964.5,802820.4254674162,766418.5745325838
7,784624.4,293652.62,1078277.0,490971.75,802825.1532633911,766423.5967366089
8,784630.75,293651.9,1078282.6,490978.84,802831.4837148046,766430.0162851954
9,784633.0,293654.75,1078287.8,490978.25,802833.9099722557,766432.0900277443
10,784635.0,293656.75,1078291.8,490978.25,802836.03393354,766433.96606646
11,784631.4,293658.28,1078289.6,490973.1,802832.5038413983,766430.2461586017
12,784626.4,293659.9,1078286.2,490966.47,802827.6045599417,766425.1454400583
13,784625.0,293655.6,1078280.6,490969.4,802825.9622684225,766424.0377315775
14,784616.0,293656.03,1078272.0,490959.97,802816.9893849534,766415.0106150466
15,784612.25,293652.03,1078264.2,490960.22,802812.9914623848,766411.5085376152
16,784605.9,293648.25,1078254.1,490957.62,802806.3820980818,766405.3679019182
17,784599.0,293641.12,1078240.1,490957.88,802799.0654860066,766398.9345139934
18,784597.7,293638.4,1078236.1,490959.28,802797.5844761357,766397.7905238643
19,784597.0,293636.62,1078233.6,490960.38,802796.7865731169,766397.2134268831
20,784595.75,293632.7,1078228.5,490963.06,802795.2925243385,766396.2074756615
21,784599.7,293628.53,1078228.2,490971.16,802798.9724172946,766400.4025827054
22,784606.5,293625.03,1078231.5,490981.47,802805.5679850471,766407.4320149529
23,784615.4,293621.12,1078236.5,490994.25,802814.2008731638,766416.5491268362
24,784623.4,293617.75,1078241.1,491005.62,802821.9916884965,766424.7583115035
25,784635.4,293612.97,1078248.4,491022.4,802833.6953435513,766437.0546564487
26,784648.25,293608.22,1078256.5,491040.03,802846.2759355011,766450.2240644989
27,784664.1,293604.34,1078268.5,491059.78,802861.9107605128,766466.3392394872
28,784678.25,293601.66,1078279.9,491076.6,802875.8691875371,766480.6308124629
29,784694.8,293597.97,1078292.8,491096.84,802892.2031339192,766497.4218660808
30,784711.2,293595.25,1078306.5,491115.94,802908.4096240484,766513.9653759516
31,784730.7,293593.06,1078323.8,491137.62,802927.7740413937,766533.6009586063
32,784751.8,293588.16,1078340.0,491163.66,802948.5949488683,766555.0300511317
33,784774.75,293584.78,1078359.5,491189.97,802971.3232642009,766578.1767357991
34,784794.7,293579.0,1078373.8,491215.7,802990.9024386136,766598.4725613864
35,784816.5,293572.1,1078388.6,491244.4,803012.2868848038,766620.7131151962
36,784839.5,293568.12,1078407.6,491271.38,803035.0408991304,766643.9591008696
37,784859.94,293563.38,1078423.2,491296.56,803055.1839910802,766664.6910089198
38,784881.94,293557.06,1078439.0,491324.88,803076.7927382767,766687.0822617233
39,784904.0,293553.66,1078457.6,491350.34,803098.6441167144,766709.3558832856
40,784928.9,293547.3,1078476.2,491381.56,803123.1259270158,766734.6240729842
41,784953.4,293542.88,1078496.2,491410.5,803147.3508879163,766759.3991120837
42,784976.2,293537.78,1078514.0,491438.4,803169.8476740204,766782.5273259796
43,785001.25,293531.44,1078532.8,491469.8,803194.5169843219,766807.9830156781
44,785028.1,293527.12,1078555.2,491501.0,803221.1246928027,766835.1253071973
45,785055.44,293518.88,1078574.2,491536.56,803247.925852505,766862.949147495
46,785079.8,293511.06,1078590.9,491568.75,803271.8166287383,766887.8083712617
47,785102.75,293504.6,1078607.4,491598.16,803294.3531914594,766911.1468085406
48,785127.1,293495.6,1078622.8,491631.53,803318.1703656802,766936.0796343198
49,785154.25,293488.0,1078642.2,491666.25,803344.8247001789,766963.6752998211
