timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1729311.1,421144.2,2150455.2,1308167.0,1755413.9121744838,1703208.3378255162
1,1729322.5,421142.88,2150465.5,1308179.6,1755425.205824891,1703219.794175109
2,1729335.6,421141.25,2150477.0,1308194.4,1755438.2301063475,1703233.0198936525
3,1729349.2,421139.72,2150489.0,1308209.5,1755451.7601984893,1703246.7398015107
4,1729362.1,421137.34,2150499.5,1308224.8,1755464.487994464,1703259.762005536
5,1729377.2,421136.16,2150513.5,1308241.1,1755479.5393924518,1703274.9606075482
6,1729392.4,421134.62,2150527.0,1308257.8,1755494.5694845933,1703290.1805154067
7,1729406.9,421131.47,2150538.2,1308275.4,1755508.8738581915,1703304.8761418085
8,1729423.9,421130.12,2150554.0,1308293.8,1755525.7905717038,1703321.9594282962
9,1729440.8,421127.12,2150568.0,1308313.6,1755542.4796297774,1703339.0203702226
10,1729455.9,421124.66,2150580.5,1308331.2,1755557.451615067,1703354.298384933
11,1729471.8,421122.3,2150594.0,1308349.5,1755573.181347937,1703370.318652063
12,1729488.1,421119.88,2150608.0,1308368.2,1755589.4052701218,1703386.8447298782
13,1729506.5,421117.8,2150624.2,1308388.8,1755607.6524350476,1703405.3475649524
14,1729523.2,421113.97,2150637.2,1308409.2,1755624.164196954,1703422.335803046
15,1729540.9,421111.56,2150652.5,1308429.2,1755641.640056034,1703440.109943966
16,1729557.4,421108.22,2150665.5,1308449.1,1755657.9328082618,1703456.8171917382
17,1729576.5,421104.88,2150681.5,1308471.6,1755676.8505604898,1703476.1494395102
18,1729595.4,421100.16,2150695.5,1308495.2,1755695.4330893348,1703495.3169106652
19,1729615.9,421096.66,2150712.5,1308519.2,1755715.7161570871,1703516.0338429129
20,1729638.4,421092.53,2150731.0,1308545.9,1755737.9604869382,1703538.7895130618
21,1729658.8,421088.53,2150747.2,1308570.2,1755758.08756437,1703559.41243563
22,1729681.1,421085.56,2150766.8,1308595.5,1755780.2785593385,1703581.9714406615
23,1729706.0,421081.94,2150788.0,1308624.0,1755804.9288795106,1703607.0711204894
24,1729730.8,421077.78,2150808.5,1308653.0,1755829.421272467,1703632.078727533
25,1729755.1,421075.8,2150831.0,1308679.2,1755853.6742480777,1703656.5757519223
26,1729784.9,421071.62,2150856.5,1308713.2,1755883.1647041386,1703686.5852958614
27,1729812.1,421067.9,2150880.0,1308744.2,1755910.1842136257,1703714.0657863743
28,1729842.8,421064.47,2150907.2,1308778.2,1755940.5961551683,1703744.9038448317
29,1729875.2,421059.97,2150935.2,1308815.2,1755972.8172422787,1703777.6827577213
30,1729906.1,421055.44,2150961.5,1308850.8,1756003.411392494,1703808.838607506
31,1729940.2,421052.62,2150993.0,1308887.6,1756037.3620719379,1703843.1379280621
32,1729975.5,421047.9,2151023.5,1308927.6,1756072.3196007828,1703878.6803992172
33,1730013.6,421043.94,2151057.5,1308969.8,1756110.1986151093,1703917.0513848907
34,1730050.1,421039.4,2151089.5,1309010.8,1756146.4177653247,1703953.8322346753
35,1730087.0,421036.78,2151123.8,1309050.2,1756183.1300661392,1703990.8699338608
36,1730124.5,421033.62,2151158.0,1309090.9,1756220.4344397373,1704028.5655602627
37,1730163.5,421030.0,2151193.5,1309133.5,1756259.2097599097,1704067.7902400903
38,1730203.8,421027.1,2151230.8,1309176.6,1756299.2796286684,1704108.2203713316
39,1730243.8,421023.7,2151267.5,1309220.0,1756339.068507106,1704148.431492894
40,1730283.9,421020.06,2151304.0,1309263.8,1756378.9688272784,1704188.7811727216
41,1730325.1,421017.28,2151342.5,1309307.9,1756420.0464436174,1704230.2035563826
42,1730368.8,421014.3,2151383.0,1309354.5,1756463.487438586,1704274.012561414
43,1730413.5,421011.25,2151424.8,1309402.2,1756508.0476228695,1704318.9523771305
44,1730457.4,421007.9,2151465.2,1309449.5,1756551.7153750972,1704363.0346249028
45,1730502.9,421006.1,2151509.0,1309496.8,1756597.1030351834,1704408.6469648166
46,1730550.2,421000.22,2151550.5,1309550.0,1756644.1138989108,1704456.3861010892
47,1730596.4,420996.2,2151592.5,1309600.2,1756689.9890394472,1704502.7609605528
48,1730643.2,420992.38,2151635.5,1309650.9,1756736.627738249,1704549.872261751
49,1730693.6,420988.78,2151682.5,1309704.9,1756786.7799953164,1704600.4700046836
50,1730739.9,420985.47,2151725.2,1309754.4,1756832.8246844392,1704646.9253155608
51,1730790.5,420984.34,2151774.8,1309806.1,1756883.379956217,1704697.620043783
52,1730843.6,420980.7,2151824.2,1309863.0,1756936.278339494,1704750.971660506
53,1730894.4,420976.84,2151871.2,1309917.5,1756986.7901014008,1704801.9598985992
54,1730943.9,420974.38,2151918.2,1309969.5,1757036.1370866906,1704851.6129133094
55,1730998.5,420969.38,2151968.0,1310029.1,1757090.45218348,1704906.54781652
56,1731056.4,420966.66,2152023.0,1310089.8,1757148.1586736091,1704964.5913263909
57,1731109.6,420962.88,2152072.5,1310146.8,1757201.174309306,1705018.075690694
58,1731167.8,420957.38,2152125.0,1310210.4,1757258.9584157742,1705076.5415842258
59,1731229.9,420953.53,2152183.5,1310276.4,1757320.845177681,1705138.904822319
60,1731287.4,420950.03,2152237.5,1310337.4,1757378.1282454336,1705196.6217545664
61,1731350.9,420945.94,2152296.8,1310405.0,1757441.3745121798,1705260.3754878202
62,1731414.6,420941.94,2152356.5,1310472.8,1757504.8765896112,1705324.3734103888
63,1731478.6,420942.25,2152421.0,1310536.4,1757568.895958562,1705388.354041438
64,1731542.1,420939.94,2152482.0,1310602.2,1757632.2526283269,1705451.9973716731
65,1731608.5,420936.84,2152545.2,1310671.6,1757698.4358757152,1705518.5641242848
66,1731680.8,420934.94,2152615.8,1310745.8,1757770.5677251162,1705590.9322748838
67,1731752.8,420932.56,2152685.2,1310820.2,1757842.4205210912,1705663.0794789088
68,1731829.1,420931.53,2152760.8,1310897.6,1757918.731603554,1705739.518396446
69,1731913.5,420929.16,2152842.8,1310984.4,1758002.9593995288,1705824.0406004712
70,1731996.0,420929.03,2152925.0,1311067.0,1758085.4516519485,1705906.5483480515
71,1732089.4,420924.6,2153014.0,1311164.8,1758178.551612849,1706000.198387151
72,1732187.4,420925.03,2153112.5,1311262.4,1758276.57872938,1706098.17127062
73,1732290.4,420923.97,2153214.2,1311366.4,1758379.5128749479,1706201.2371250521
74,1732400.5,420925.25,2153325.8,1311475.2,1758489.7172876454,1706311.2827123546
75,1732516.5,420924.44,2153441.0,1311592.0,1758605.6669283737,1706427.3330716263
76,1732633.8,420927.53,2153561.2,1311706.2,1758723.1086809854,1706544.3913190146
77,1732766.1,420928.44,2153694.5,1311837.8,1758855.5398509423,1706676.7101490577
78,1732908.2,420934.38,2153842.5,1311973.9,1758998.032861005,1706818.467138995
79,1733052.6,420941.5,2153994.0,1312111.1,1759142.8494730801,1706962.4005269199
80,1733208.5,420944.2,2154152.8,1312264.2,1759298.891046056,1707118.108953944
81,1733373.2,420948.06,2154321.2,1312425.2,1759463.8812210443,1707282.6187789557
82,1733538.1,420955.3,2154493.5,1312582.8,1759629.2055806997,1707447.0444193003
83,1733716.0,420964.06,2154680.0,1312752.0,1759807.6229113184,1707624.3770886816
84,1733899.2,420972.75,2154872.0,1312926.5,1759991.411368147,1707807.088631853
85,1734092.9,420981.3,2155074.2,1313111.5,1760185.5670773955,1708000.1829226045
86,1734302.6,420997.53,2155300.2,1313305.1,1760396.3223259351,1708208.9276740649
87,1734530.4,421007.34,2155537.8,1313523.0,1760624.6805109861,1708436.0694890139
88,1734761.9,421023.25,2155785.0,1313738.6,1760857.1663905752,1708666.5836094248
89,1735026.4,421036.53,2156063.0,1313989.9,1761122.4895709786,1708930.2604290214
90,1735301.9,421057.84,2156359.8,1314244.0,1761399.3105334141,1709204.4394665859
91,1735606.9,421082.7,2156689.5,1314524.2,1761705.8503649924,1709507.8996350076
92,1735964.8,421096.66,2157061.5,1314868.1,1762064.5911570871,1709864.9088429129
93,1736366.6,421113.78,2157480.5,1315252.9,1762467.527575584,1710265.722424416
94,1736832.6,421138.72,2157971.2,1315693.9,1762935.0732178472,1710730.1767821528
95,1737403.2,421186.9,2158590.2,1316216.4,1763508.6849100403,1711297.8150899597
96,1738134.8,421204.44,2159339.2,1316930.2,1764241.2715081729,1712028.2284918271
97,1739129.6,421196.16,2160325.8,1317933.5,1765235.63323098,1713023.61676902
98,1740609.6,421171.7,2161781.2,1319438.0,1766714.1166421426,1714505.1333578574
99,1743483.2,421093.6,2164576.8,1322389.6,1769582.9013413705,1717383.5986586295
