timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1937.0481,26.335741,1963.3838,1910.7124,1942.2099009475708,1931.8862904586792
1,2503.5247,52.36727,2555.8918,2451.1575,2513.7886434020998,2493.2606730041502
2,3077.696,95.49235,3173.1885,2982.2036,3096.4125450744627,3058.9795447692873
3,3662.4834,145.36111,3807.8445,3517.1223,3690.9741768798826,3633.9926199951174
4,4254.536,194.21898,4448.755,4060.3171,4292.60305267334,4216.46921295166
5,4854.5264,246.52727,5101.0537,4607.999,4902.845711608887,4806.207022766113
6,5466.715,297.96417,5764.679,5168.7505,5525.115821533203,5408.313865966797
7,6089.323,350.69125,6440.0146,5738.632,6158.058727905273,6020.587756469727
8,6720.541,407.54556,7128.0864,6312.9956,6800.419945922851,6640.662085327149
9,7366.62,459.73447,7826.3545,6906.8857,7456.728072631836,7276.512161743164
10,8022.0654,517.2,8539.266,7504.865,8123.436632080078,7920.694227294922
11,8694.749,575.213,9269.962,8119.536,8807.490773925781,8582.007272949219
12,9379.693,631.49414,10011.1875,8748.199,9503.4662109375,9255.9205078125
13,10078.362,690.24243,10768.6045,9388.12,10213.649821289062,9943.074788085938
14,10793.119,750.4606,11543.58,10042.658,10940.209412597656,10646.028868652344
15,11524.722,811.4752,12336.197,10713.246,11683.770822753906,11365.672536621094
16,12272.777,872.69104,13145.469,11400.086,12443.824787597656,12101.729899902344
17,13037.369,934.9501,13972.319,12102.419,13220.619354980468,12854.118926269532
18,13818.039,998.5563,14816.596,12819.482,14013.756092285157,13622.322032714843
19,14618.31,1061.5085,15679.818,13556.801,14826.365245117187,14410.253895507813
20,15437.397,1124.2822,16561.68,14313.115,15657.75677734375,15217.03814453125
21,16276.108,1185.505,17461.613,15090.604,16508.467379394533,16043.749417480469
22,17135.426,1246.3577,18381.783,15889.068,17379.711883789063,16891.139678710937
23,18012.963,1310.5253,19323.488,16702.438,18269.82584326172,17756.09993798828
24,18912.182,1376.7677,20288.95,17535.414,19182.02810986328,18642.33517138672
25,19833.486,1437.1808,21270.668,18396.305,20115.173762207032,19551.798894042968
26,20775.322,1494.8738,22270.195,19280.45,21068.317526367187,20482.327004882813
27,21737.95,1555.7578,23293.707,20182.191,22042.87775,21433.0206875
28,22721.453,1615.584,24337.037,21105.87,23038.1075859375,22404.7986640625
29,23726.87,1671.8207,25398.69,22055.049,24054.545993652344,23399.192287597656
30,24754.732,1736.7637,26491.496,23017.969,25095.1381015625,24414.3267421875
31,25803.295,1795.3748,27598.67,24007.92,26155.188374023437,25451.401469726563
32,26876.03,1851.8584,28727.887,25024.172,27238.99354296875,26513.06505078125
33,27973.385,1909.7291,29883.113,26063.656,28347.691674316407,27599.077856933593
34,29094.473,1965.7023,31060.176,27128.77,29479.75030126953,28709.19501123047
35,30239.477,2024.376,32263.852,28215.102,30636.25425390625,29842.69887109375
36,31407.994,2081.0981,33489.094,29326.896,31815.889376953124,31000.098904296876
37,32604.205,2134.7183,34738.92,30469.486,33022.60985742188,32185.800298828126
38,33824.34,2190.7378,36015.08,31633.602,34253.724451171875,33394.955236328125
39,35070.26,2248.5435,37318.805,32821.72,35510.976236328126,34629.547201171874
40,36346.758,2302.2605,38649.02,34044.496,36798.00087011719,35895.51475488281
41,37649.67,2354.8347,40004.508,35294.836,38111.21947949219,37188.12427050781
42,38981.61,2410.1375,41391.746,36571.473,39453.996315429686,38509.222434570314
43,40343.49,2466.0032,42809.492,37877.484,40826.82490332031,39860.15165917969
44,41734.75,2517.666,44252.414,39217.086,42228.2125390625,41241.2874609375
45,43156.93,2569.751,45726.68,40587.18,43660.60087890625,42653.25849609375
46,44612.62,2620.065,47232.688,41992.555,45126.15382226562,44099.08836523438
