timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1527.897,51.75552,1579.6525,1476.1415,1538.0410545501709,1517.7528907623291
1,2294.469,28.644606,2323.1135,2265.8245,2300.0833368453978,2288.8546514358522
2,3068.8179,44.40246,3113.2202,3024.4155,3077.52075289917,3060.11498928833
3,3850.4868,78.01231,3928.499,3772.4746,3865.7772284240723,3835.1964043884277
4,4641.153,115.0779,4756.231,4526.0747,4663.708101165771,4618.597562896729
5,5437.496,152.9194,5590.4155,5284.5767,5467.46829675293,5407.52389074707
6,6242.714,189.6572,6432.371,6053.0566,6279.886677612305,6205.541056762695
7,7051.85,226.0172,7277.867,6825.833,7096.149468200683,7007.550727111817
8,7868.3955,263.68646,8132.082,7604.709,7920.078054443359,7816.712961181641
9,8690.891,301.57022,8992.461,8389.32,8749.998388305665,8631.782861694335
10,9518.857,339.81833,9858.676,9179.039,9585.461814331054,9452.253029418946
11,10352.997,377.4388,10730.436,9975.559,10426.975077514648,10279.019063110352
12,11190.604,415.14914,11605.753,10775.454,11271.972746948242,11109.234284301758
13,12037.147,457.0009,12494.148,11580.146,12126.719634399415,11947.575287475585
14,12890.35,497.45474,13387.805,12392.895,12987.850738891602,12792.848479858398
15,13745.768,539.2629,14285.03,13206.505,13851.463102294922,13640.072053955078
16,14611.54,581.9784,15193.519,14029.562,14725.607804199219,14497.472273925781
17,15487.238,628.0267,16115.265,14859.212,15610.331509033203,15364.145053466797
18,16372.47,676.10986,17048.58,15696.359,16504.987259765625,16239.952193359375
19,17264.873,725.8507,17990.725,16539.021,17407.139785644533,17122.606308105467
20,18170.203,778.16254,18948.365,17392.041,18322.722982177733,18017.683267822267
21,19088.9,835.2572,19924.158,18253.643,19252.610802246094,18925.189979003906
22,20019.266,894.1305,20913.396,19125.135,20194.515201660157,19844.016048339843
23,20967.338,953.34216,21920.68,20013.996,21154.192954589842,20780.482826660158
24,21927.445,1013.26434,22940.709,20914.182,22126.0451237793,21728.8455012207
25,22904.8,1076.7245,23981.525,21828.076,23115.83878076172,22693.76278173828
26,23902.262,1140.8945,25043.156,22761.367,24125.877046875,23678.646390625
27,24913.992,1203.8826,26117.875,23710.11,25149.953170898436,24678.031204101564
28,25947.367,1269.9232,27217.291,24677.443,26196.272138183595,25698.462236816405
29,27001.057,1338.0464,28339.104,25663.01,27263.313732421873,26738.799548828127
30,28078.688,1406.2667,29484.955,26672.42,28354.31577783203,27803.05922216797
31,29178.94,1475.5134,30654.453,27703.426,29468.140084960938,28889.738821289062
32,30302.465,1541.653,31844.117,28760.812,30604.628822753908,30000.300864746092
33,31448.348,1612.3864,33060.734,29835.96,31764.375381347658,31132.319931152342
34,32624.197,1679.4146,34303.613,30944.783,32953.36251757813,32295.032013671876
35,33825.03,1745.4171,35570.45,32079.613,34167.133004394535,33482.929495605465
36,35055.047,1812.6113,36867.656,33242.438,35410.3186953125,34699.7750546875
37,36315.473,1878.5082,38193.98,34436.965,36683.66025927734,35947.28505322266
38,37602.7,1943.9979,39546.695,35658.703,37983.72281201172,37221.67562548828
39,38921.816,2006.668,40928.484,36915.15,39315.123328125,38528.509484375
40,40273.176,2070.238,42343.414,38202.938,40678.94243652344,39867.40912597656
41,41658.36,2132.3767,43790.734,39525.984,42076.305209960934,41240.413540039066
42,43078.086,2192.1697,45270.254,40885.918,43507.751194335935,42648.420680664065
43,44536.17,2251.47,46787.64,42284.703,44977.45998925781,44094.88376074219
44,46029.887,2308.5364,48338.42,43721.35,46482.35984863281,45577.41358886719
45,47560.766,2366.3328,49927.098,45194.434,48024.566846679685,47096.964403320315
