timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1568.8999,55.791904,1624.6918,1513.108,1579.8351156158446,1557.9646890716554
1,2306.8604,32.920517,2339.7808,2273.94,2313.3127728881836,2300.4079302368164
2,3052.3816,40.7695,3093.1511,3011.612,3060.37241394043,3044.39076965332
3,3805.593,70.548004,3876.141,3735.045,3819.4204263916017,3791.7656087646483
4,4565.4473,104.08453,4669.5317,4461.363,4585.847834228515,4545.046697021485
5,5332.2017,140.44759,5472.6494,5191.754,5359.7293870239255,5304.6739332885745
6,6104.7427,178.18073,6282.9233,5926.562,6139.666097900391,6069.819253662109
7,6883.788,214.939,7098.727,6668.849,6925.91612902832,6841.66004284668
8,7669.165,251.17036,7920.3354,7417.9946,7718.394430480957,7619.935647644043
9,8458.965,287.253,8746.218,8171.712,8515.26642993164,8402.66325756836
10,9255.202,321.16446,9576.366,8934.038,9318.150382446289,9192.253914428711
11,10057.092,356.68915,10413.781,9700.402,10127.002869873048,9987.180723876952
12,10864.522,392.1617,11256.685,10472.36,10941.38615661621,10787.65876525879
13,11678.883,429.65186,12108.535,11249.23,11763.094576171876,11594.671048828124
14,12498.187,467.49567,12965.683,12030.69,12589.815674072266,12406.557372802734
15,13327.487,505.707,13833.194,12821.78,13426.605876831054,13228.368732543946
16,14161.723,546.1716,14707.895,13615.551,14268.772283935547,14054.673028564453
17,15005.831,586.3933,15592.225,14419.4375,15120.764143554687,14890.897965820313
18,15857.612,630.55,16488.162,15227.0625,15981.200102294923,15734.024507080077
19,16723.266,675.1802,17398.445,16048.086,16855.600939453125,16590.930310546875
20,17597.977,718.9695,18316.945,16879.008,17738.894581054687,17457.058543945313
21,18485.283,770.4469,19255.73,17714.836,18636.290795410157,18334.275610839843
22,19384.725,823.0105,20207.734,18561.715,19546.03466699219,19223.41455175781
23,20300.885,879.3379,21180.223,19421.547,20473.2349921875,20128.5345390625
24,21232.598,940.49786,22173.096,20292.1,21416.935237548827,21048.260074951173
25,22181.457,1000.79987,23182.258,21180.656,22377.61380493164,21985.30025756836
26,23147.303,1063.8148,24211.117,22083.488,23355.810438964843,22938.795029785157
27,24134.492,1130.0564,25264.549,23004.436,24355.98324121094,23913.00113378906
28,25143.32,1200.6683,26343.988,23942.652,25378.651306152344,24907.989318847656
29,26168.67,1273.3807,27442.05,24895.29,26418.25254638672,25919.08729736328
30,27221.402,1346.1384,28567.541,25875.264,27485.245475585936,26957.559211914064
31,28299.557,1420.7799,29720.336,26878.777,28578.029502441404,28021.083778808596
32,29404.523,1497.8724,30902.396,27906.65,29698.106435058595,29110.940439941405
33,30534.66,1573.0028,32107.662,28961.658,30842.968706542968,30226.351605957032
34,31694.332,1649.7712,33344.1,30044.56,32017.687194335937,31370.976868164063
35,32884.414,1728.3134,34612.727,31156.102,33223.16347998047,32545.664645019533
36,34104.934,1807.8799,35912.812,32297.055,34459.27805078125,33750.58913671875
37,35358.17,1888.0208,37246.19,33470.152,35728.223942382814,34988.119807617186
38,36642.266,1966.967,38609.234,34675.297,37027.79116503906,36256.74008496094
39,37959.51,2042.5731,40002.086,35916.938,38359.85605029297,37559.16738720703
