timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1526.4594,58.449528,1584.9089,1468.0098,1537.9154580230713,1515.0032431488037
1,2349.722,19.420568,2369.1426,2330.3013,2353.5283552474975,2345.9154924087525
2,3183.1965,65.14392,3248.3403,3118.0527,3195.964741699219,3170.428324707031
3,4024.6182,122.696236,4147.3145,3901.9219,4048.666626251221,4000.569701873779
4,4874.389,180.78946,5055.1787,4693.5996,4909.823894165039,4838.954426147461
5,5730.3657,238.43623,5968.802,5491.9297,5777.09922442627,5683.63222088623
6,6595.7324,296.2867,6892.019,6299.446,6653.804617553711,6537.660226196289
7,7470.679,356.2912,7826.97,7114.388,7540.5122741699215,7400.8461242675785
8,8349.667,416.3913,8766.059,7933.276,8431.279686279297,8268.054298095703
9,9235.247,475.0885,9710.336,8760.158,9328.364416503906,9142.129724121094
10,10127.785,533.23474,10661.02,9594.551,10232.299165527344,10023.271146972656
11,11024.659,593.6612,11618.32,10430.998,11141.01677368164,10908.30158569336
12,11928.789,654.5855,12583.375,11274.203,12057.087822509766,11800.490302490234
13,12839.147,717.47644,13556.624,12121.671,12979.772843261719,12698.522078613281
14,13757.541,780.8801,14538.421,12976.661,13910.593520507813,13604.488510742187
15,14683.849,848.6905,15532.539,13835.158,14850.19196899414,14517.50529663086
16,15616.89,914.07794,16530.967,14702.812,15796.048925048828,15437.730371826172
17,16560.145,982.789,17542.934,15577.355,16752.77117553711,16367.51788696289
18,17508.883,1054.858,18563.74,16454.025,17715.634986816407,17302.130638183593
19,18472.89,1129.5927,19602.482,17343.299,18694.29078466797,18251.49046533203
20,19444.623,1209.8752,20654.498,18234.748,19681.75859472656,19207.48749902344
21,20430.49,1287.3282,21717.818,19143.162,20682.80657080078,20178.17389794922
22,21427.812,1369.7623,22797.574,20058.05,21696.285916503904,21159.339083496096
23,22439.988,1452.0676,23892.057,20987.92,22724.593536132812,22155.383026367188
24,23467.125,1538.3163,25005.441,21928.809,23768.63499169922,23165.61500830078
25,24513.164,1627.5223,26140.686,22885.643,24832.15844091797,24194.16968408203
26,25573.37,1718.1366,27291.506,23855.232,25910.123913574218,25236.614367675782
27,26651.973,1808.5536,28460.525,24843.42,27006.44915966797,26297.49615283203
28,27755.6,1899.5634,29655.162,25856.037,28127.91402685547,27383.28519189453
29,28878.615,1992.923,30871.54,26885.691,29269.228137207032,28488.002331542968
30,30027.492,2087.078,32114.57,27940.414,30436.559452148438,29618.424922851562
31,31199.36,2184.4304,33383.79,29014.93,31627.507737304688,30771.211012695312
32,32404.053,2282.0496,34686.1,30122.004,32851.33444824219,31956.77102050781
33,33631.45,2383.8025,36015.25,31247.646,34098.67450683594,33164.22393066406
34,34885.89,2483.1726,37369.062,32402.719,35372.592456054685,34399.188793945315
35,36169.61,2586.2634,38755.87,33583.348,36676.51700683594,35662.70174316406
36,37486.77,2689.6638,40176.434,34797.105,38013.94363964844,36959.59542285156
37,38838.547,2789.6125,41628.16,36048.934,39385.31093457031,38291.78281542969
38,40224.066,2887.6462,43111.71,37336.42,40790.04506933594,39658.08774316406
39,41644.65,2981.603,44626.25,38663.047,42229.042630859374,41060.254244140626
40,43101.46,3080.0825,46181.543,40021.38,43705.157111328124,42497.764763671876
41,44592.68,3174.2812,47766.96,41418.4,45214.8388125,43970.5205625
42,46121.066,3266.654,49387.72,42854.414,46761.330600585934,45480.802211914066
43,47686.69,3355.1433,51041.836,44331.547,48344.299495117186,47029.083317382814
44,49292.02,3440.337,52732.355,45851.684,49966.32556640625,48617.71349609375
45,50937.664,3521.4495,54459.113,47416.215,51627.86815722656,50247.45996777344
46,52628.03,3602.5618,56230.594,49025.47,53334.13335644531,51921.92914355469
47,54357.99,3678.4246,58036.414,50679.562,55078.95949511719,53637.01706738281
48,56130.734,3753.2937,59884.027,52377.44,56866.37994042969,55395.08880957031
49,57951.2,3822.449,61773.65,54128.75,58700.39921777344,57201.99921972656
