timesteps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,2290.1528,3075.9187,3858.878,4655.3955,5468.5933,6313.928,7166.0645,8028.734,8922.587,9825.686,10744.103,11659.029,12624.552,13568.298,14526.413,15465.082,16439.686,17432.084,18401.852,19405.338,20384.693,21346.557,22363.465,23333.152,24318.186,25323.664,26335.709,27331.19,28360.676,29407.484,30422.105,31460.984,32519.498,33516.664,34591.625,35623.47,36632.363,37602.754,38651.094,39664.06,40649.754,41641.6,42618.816,43619.348,44639.676,45599.91,46625.55,47471.273,48465.668,49513.77,50524.664,51641.75,52790.848,53910.184,55115.703,56309.83,57525.88,58813.188,60074.89,61493.53,62855.363,64374.188,65821.46,67330.68,68971.766,70643.484,72473.33,74489.68,76519.16,78704.57,80995.87,83456.414,85976.664,88694.37,91452.234,94502.23,97694.39,101016.39,104468.914,108276.65,112190.984,116364.51,120817.8,125525.75,130533.305,135816.5,141359.89,147157.45,153268.45,159749.45,166745.25,174274.66,182514.67,191569.34,201691.25,212966.19,225892.8,240731.42,258207.89,278904.2
11,2729.967,3536.547,4354.597,5204.4927,6068.296,6938.338,7821.7344,8723.033,9631.295,10537.086,11470.26,12410.922,13347.005,14282.627,15225.788,16167.751,17122.84,18081.719,19017.188,20015.865,20942.994,21899.107,22700.13,23580.105,24396.312,25251.064,26072.86,26842.096,27782.342,28592.613,29242.434,30138.336,30947.932,31882.418,32848.59,33679.688,34531.977,35267.35,36057.316,36825.492,37457.34,38177.367,38819.82,39435.543,39731.207,40048.676,40580.273,41032.457,41136.516,41513.316,41774.79,42116.74,42229.61,42549.145,42747.824,42368.47,42289.965,42341.723,41880.023,41624.61,41323.08,41317.76,41309.676,40812.15,40772.824,40463.52,39994.25,40026.945,40236.258,39942.96,39959.637,40072.668,39333.277,38565.19,38099.637,37803.59,37638.01,37424.457,37920.02,38036.527,38409.004,39101.65,40368.21,41946.22,43427.227,45083.715,47277.56,50055.855,52713.613,56284.203,60271.04,64838.93,70195.19,76576.445,83806.836,92270.95,102283.625,114382.516,129925.4,149465.1
12,3155.0166,3938.4417,4731.5024,5551.5786,6392.577,7252.1177,8116.2856,9002.363,9908.306,10837.958,11781.375,12722.302,13675.438,14642.476,15609.427,16574.787,17545.402,18552.746,19543.648,20561.455,21616.719,22659.0,23705.477,24705.742,25736.768,26803.87,27819.57,28895.75,29964.46,31075.014,32147.938,33253.832,34325.887,35451.2,36635.176,37746.062,38811.32,39888.016,40916.43,41913.066,42718.91,43495.95,44272.91,44882.027,45600.29,46119.617,46559.11,47118.258,47719.055,48238.055,48742.008,49349.535,49739.844,50543.816,51180.746,52213.59,53142.51,53676.004,54639.188,55631.816,56070.13,56567.31,57535.24,58228.113,58330.465,58257.85,59187.324,59754.418,60513.457,60965.055,61291.016,61770.03,61857.746,62507.273,62887.504,63255.363,62537.414,61799.707,61697.918,61328.082,61188.574,60236.098,59256.742,58107.93,57539.406,57625.344,57229.645,58015.867,59787.938,62180.2,64860.008,68441.0,72938.2,78614.945,85549.05,94025.17,105084.67,119203.74,136460.53,157569.5
13,2076.3467,2870.0923,3686.046,4503.5645,5338.962,6188.5483,7052.3125,7934.712,8819.345,9725.356,10620.264,11534.522,12452.416,13388.689,14332.019,15283.638,16242.16,17196.98,18204.432,19198.508,20223.912,21212.379,22232.3,23229.988,24246.71,25242.861,26235.16,27256.89,28322.84,29288.705,30249.783,31240.588,32042.334,32908.637,33711.47,34667.74,35521.363,36407.53,37085.305,37866.87,38687.816,39391.92,40219.383,41008.336,41786.41,42549.49,43205.266,43937.652,44581.85,45321.305,46106.246,46958.457,47758.137,48533.19,49533.137,50337.49,51201.46,52072.836,52980.094,54050.47,55141.133,56144.688,57436.75,58591.32,60031.766,61365.668,62941.688,64680.15,66547.71,68501.53,70678.336,72818.8,75142.92,77496.17,80002.9,82737.62,85628.46,88602.01,91962.09,95454.43,99264.125,103297.68,107685.555,112505.47,117774.516,123335.72,129563.96,136215.02,143383.67,151232.16,159832.9,169229.61,179814.8,191634.25,205015.02,220204.03,238085.12,259868.58,287492.66,322166.94
14,2297.5732,3068.618,3865.0403,4699.7227,5550.8013,6402.898,7263.438,8135.9863,9028.48,9917.565,10826.66,11723.662,12616.845,13548.347,14485.147,15421.06,16394.523,17371.17,18368.527,19360.564,20339.361,21330.127,22300.383,23247.674,24196.16,25127.37,26129.396,27095.355,28052.986,29039.816,30071.08,31044.8,31978.418,32943.184,33880.727,34861.38,35814.23,36813.902,37758.254,38715.71,39640.75,40431.426,41320.58,42106.434,42964.773,43760.332,44546.48,45307.793,46090.023,46785.086,47540.05,48143.785,48817.562,49212.348,50023.332,50765.312,51381.6,51980.594,52711.324,53330.684,54012.03,54866.63,55849.324,56826.105,57767.0,58832.19,60001.21,61122.78,62485.418,63990.656,65338.652,66928.36,68713.68,70431.83,72291.62,74229.87,76329.19,78652.21,81416.59,84223.016,87192.27,90301.13,93608.695,97174.73,101089.89,105236.484,109738.836,114663.84,119817.31,125454.63,131640.72,138298.61,145788.52,154096.98,163325.73,173712.05,185898.72,199780.98,215902.3,235834.69
15,2084.39,2848.5862,3631.747,4440.9956,5263.532,6088.9717,6937.4263,7788.2583,8665.242,9529.596,10399.862,11304.107,12230.728,13159.817,14109.792,15053.848,15975.362,16923.178,17898.584,18882.447,19850.088,20861.826,21794.457,22748.168,23727.553,24666.965,25624.576,26597.293,27549.322,28538.541,29463.889,30423.426,31359.088,32364.469,33277.98,34248.13,35118.523,35928.14,36832.777,37701.875,38558.27,39363.14,40210.266,40994.938,41770.33,42313.36,42958.688,43603.977,44296.05,44904.37,45601.133,46292.176,47018.383,47725.867,48469.965,49234.125,50075.59,50882.742,51690.285,52596.195,53490.277,54405.31,55532.57,56705.188,58043.645,59442.402,60767.656,62319.387,63796.355,65404.457,67129.18,68657.58,70418.18,72249.88,74334.25,76533.45,78855.81,81485.59,84178.02,87122.47,90153.53,93523.016,96941.914,100660.09,104563.875,108774.13,113219.95,117947.41,122862.625,128164.4,133809.17,139778.97,146358.95,153734.38,161797.12,170971.5,181363.16,193288.75,206698.36,221718.53
16,2314.4766,3134.4426,3962.3376,4798.2017,5660.15,6525.8247,7405.48,8293.636,9212.63,10119.261,11033.846,11964.191,12919.283,13887.338,14851.772,15836.299,16811.766,17810.455,18811.88,19828.943,20855.912,21919.168,22946.062,24020.922,25075.945,26070.133,27160.73,28192.99,29184.826,30169.584,31144.547,32060.549,33021.043,33946.953,34856.39,35701.062,36434.324,37216.51,37932.96,38387.6,38878.926,39330.234,39780.383,39913.504,40428.7,41020.59,41500.848,41510.125,41912.207,42152.664,42647.285,43252.355,43672.668,44111.773,44501.402,44937.844,45504.09,45651.355,46199.066,46617.664,47224.484,47660.453,48468.15,49255.68,49985.184,50996.457,51941.76,52924.023,54188.668,55480.062,56873.664,58099.637,59697.0,61331.66,63178.246,65273.355,67305.1,69649.54,72147.12,74853.66,77648.36,80694.3,84019.164,87470.23,91345.766,95449.49,99871.03,104433.086,109351.03,114604.68,120196.03,126255.79,132861.75,140192.8,148527.58,157919.9,168848.53,181440.52,195914.6,212814.3
17,2564.5215,3363.2632,4178.622,5011.836,5853.469,6712.7373,7588.653,8458.164,9355.662,10260.196,11174.625,12085.552,13035.286,13968.653,14889.786,15829.806,16811.486,17781.504,18749.61,19732.893,20732.43,21762.443,22742.314,23755.979,24764.354,25701.355,26616.707,27519.523,28442.531,29401.145,30288.91,31145.719,31975.936,32784.844,33586.08,34414.875,35288.547,35975.37,36706.37,37504.117,38057.76,38744.8,39376.754,39886.637,40450.74,41129.45,41819.64,42371.31,42807.36,43370.78,44113.97,44700.855,45441.617,46001.344,46488.996,46877.926,47323.523,47698.55,48065.844,48498.887,49173.723,49768.44,50259.613,50951.016,51639.332,52324.312,52979.55,53862.258,54755.258,55808.793,56753.055,57876.87,59071.63,60436.215,61627.047,63279.61,64925.324,66599.85,68387.29,70540.195,72972.055,75629.94,78713.195,81889.47,85614.31,89886.31,94462.62,99477.29,104721.16,110491.125,116639.37,123428.125,131036.82,139632.88,149056.0,159531.52,171597.6,185274.61,200625.64,218163.84
18,2441.4,3251.6157,4052.2744,4880.077,5716.672,6594.862,7469.8994,8359.48,9254.274,10176.907,11092.827,12016.274,12954.067,13927.776,14874.334,15857.837,16845.078,17831.28,18845.572,19851.45,20849.643,21876.719,22917.41,23961.98,24997.701,26026.123,26999.965,28010.303,29081.113,30106.754,31208.99,32280.578,33343.938,34441.03,35443.195,36468.652,37431.094,38476.28,39574.41,40513.258,41440.535,42410.9,43440.01,44389.84,45385.668,46276.3,47172.438,48083.785,48957.215,49935.75,50835.207,51811.38,52606.395,53514.562,54524.62,55513.273,56494.895,57645.29,58749.285,59897.723,61107.277,62333.754,63631.938,65071.6,66345.984,67826.69,69260.99,70698.94,72183.72,73610.71,75198.63,77024.94,78877.51,80773.695,82775.36,84882.51,87306.5,89768.26,92371.875,95005.01,97823.71,100991.98,104384.414,107992.016,111847.57,115806.234,120211.5,124820.41,129730.72,135099.23,141130.19,147546.19,154636.92,162787.56,171901.27,182319.53,194235.16,207918.0,223270.55,241243.69
19,2363.7336,3169.0623,4002.061,4847.9414,5709.515,6576.4097,7425.818,8324.93,9215.158,10113.93,11031.536,11950.378,12892.952,13844.467,14821.62,15794.03,16779.594,17787.639,18833.47,19855.305,20897.643,21895.66,22900.164,23942.908,24947.46,25964.627,26965.28,28016.432,28975.951,29943.184,30839.764,31719.678,32515.102,33395.156,34337.242,34953.633,35615.406,36235.336,36905.09,37428.266,37955.766,38541.242,39245.367,39809.766,40338.336,40994.19,41713.777,42511.434,43384.97,44023.84,44847.297,45473.043,46085.39,46876.32,47632.062,48376.258,49059.695,49582.71,49986.8,50634.234,51201.793,51673.402,52327.254,53106.31,53869.508,54623.066,55566.566,56650.26,57853.863,59277.223,60771.67,62381.1,64093.105,65980.27,67960.97,70095.21,72321.02,74621.77,77349.66,80021.6,83076.97,86252.38,89708.93,93454.53,97456.17,101681.5,106081.81,110862.414,115796.8,121068.52,126762.875,133050.47,139854.62,147470.55,155988.98,165966.28,177737.73,191658.2,207933.48,226560.83
