timestep,mean_diff,std_diff,mean_diff_plus_std,mean_diff_minus_std
0,-6.064000000000306,75.31241002907555,69.24841002907525,-81.37641002907586
1,-6.272200000000339,74.7104028071431,68.43820280714276,-80.98260280714344
2,-10.624500000000353,74.57795820686665,63.9534582068663,-85.20245820686701
3,-9.996300000000247,74.71084828671269,64.71454828671244,-84.70714828671294
4,-10.959200000000237,74.42222210198445,63.46302210198421,-85.38142210198468
5,-12.87440000000015,75.30327949371024,62.428879493710085,-88.17767949371039
6,-11.904700000000048,76.51225482741043,64.60755482741038,-88.41695482741048
7,-11.641799999999876,76.59170453842616,64.94990453842628,-88.23350453842603
8,-9.330399999999827,75.6692805947755,66.33888059477567,-84.99968059477533
9,-8.758299999999963,75.94375777789354,67.18545777789357,-84.7020577778935
10,-8.527599999999893,76.22423973105464,67.69663973105474,-84.75183973105453
11,-7.044199999999819,74.4159143857788,67.37171438577899,-81.46011438577862
12,-4.441299999999956,74.47275124703378,70.03145124703383,-78.91405124703374
13,-4.03630000000021,75.6390790256644,71.60277902566419,-79.67537902566461
14,-4.344200000000001,77.30996886825204,72.96576886825204,-81.65416886825204
15,-7.095300000000407,78.70464957123451,71.6093495712341,-85.79994957123492
16,-7.358600000000024,81.05050222718855,73.69190222718852,-88.40910222718857
17,-7.464300000000094,82.42626134858453,74.96196134858444,-89.89056134858463
18,-8.106900000000223,85.17813759035238,77.07123759035215,-93.2850375903526
19,-11.115000000000236,87.72042810658117,76.60542810658093,-98.8354281065814
20,-9.443099999999959,89.52535920761237,80.08225920761241,-98.96845920761233
21,-14.214199999999892,90.62459323007684,76.41039323007695,-104.83879323007673
22,-15.629199999999855,90.2624858339613,74.63328583396145,-105.89168583396116
23,-15.536399999999958,96.49213692381605,80.95573692381609,-112.028536923816
24,-18.63839999999982,97.76075448679649,79.12235448679667,-116.3991544867963
25,-19.60129999999981,101.4935793990352,81.89227939903539,-121.09487939903501
26,-18.416299999999865,105.523408099688,87.10710809968813,-123.93970809968786
27,-24.068399999999656,108.69133822018168,84.62293822018202,-132.75973822018133
28,-22.060999999999694,109.36357039870737,87.30257039870767,-131.42457039870706
29,-22.97069999999985,111.12004609546103,88.14934609546118,-134.09074609546087
30,-23.041699999999764,113.39404725895646,90.3523472589567,-136.4357472589562
31,-20.951700000000073,115.98174665046166,95.03004665046159,-136.93344665046175
32,-18.871799999999894,121.95402730696597,103.08222730696608,-140.82582730696586
33,-15.115800000000036,122.1434890015524,107.02768900155236,-137.25928900155242
34,-14.013900000000376,127.36358473476238,113.34968473476201,-141.37748473476276
35,-8.205599999999777,126.98374795462722,118.77814795462744,-135.189347954627
36,-4.429900000000089,130.05434232150574,125.62444232150565,-134.48424232150583
37,0.9328000000000429,131.81447039380512,132.74727039380517,-130.88167039380508
38,5.510400000000118,133.62111000666928,139.1315100066694,-128.11071000666917
39,8.56939999999986,137.21053236029405,145.7799323602939,-128.6411323602942
40,13.157000000000153,140.53120332753613,153.68820332753629,-127.37420332753598
41,19.15430000000015,141.42024323940333,160.57454323940348,-122.26594323940319
42,22.11140000000023,146.19195742906925,168.30335742906948,-124.08055742906902
