timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1577.1714,27.0321,1604.2035,1550.1393,1578.846853677115,1575.495919760385
1,2305.1821,33.93557,2339.1177,2271.2466,2307.285477311535,2303.078780500965
2,3044.9663,59.028885,3103.995,2985.9375,3048.6249567838563,3041.3076604036437
3,3796.1897,86.603546,3882.7932,3709.5862,3801.5574406670826,3790.8219538641674
4,4559.645,115.17358,4674.8184,4444.4717,4566.783551751211,4552.506487311289
5,5335.0376,142.96089,5477.9985,5192.0767,5343.898405526088,5326.176789786412
6,6122.0186,170.78859,6292.807,5951.23,6132.604141133384,6111.432968241616
7,6921.305,197.67033,7118.9756,6723.635,6933.556910005926,6909.053441556574
8,7732.902,224.1445,7957.0464,7508.7573,7746.794475556138,7719.009235381362
9,8556.005,250.41667,8806.422,8305.588,8571.525868930134,8540.483896694866
10,9391.043,276.22394,9667.267,9114.819,9408.16350580076,9373.92243169924
11,10236.955,301.2095,10538.165,9935.745,10255.624236550173,10218.285919699827
12,11093.361,325.38046,11418.742,10767.98,11113.528618139411,11073.194038110589
13,11961.234,350.0313,12311.266,11611.203,11982.92954042682,11939.53920957318
14,12839.303,374.4156,13213.719,12464.887,12862.509252969689,12816.096215780311
15,13727.777,398.5602,14126.338,13329.217,13752.480361570213,13703.074325929787
16,14627.101,422.96323,15050.063,14204.138,14653.316118306022,14600.885053568978
17,15536.627,446.67502,15983.302,15089.952,15564.312157587472,15508.941748662528
18,16458.604,471.9183,16930.521,15986.686,16487.853315171687,16429.353716078313
19,17391.646,497.26572,17888.912,16894.38,17422.4673328008,17360.8256359492
20,18336.623,522.14136,18858.764,17814.482,18368.985703495495,18304.260390254505
21,19294.404,548.1711,19842.576,18746.232,19328.38029251123,19260.42830123877
22,20265.416,574.79474,20840.21,19690.621,20301.042162632228,20229.789868617772
23,21249.256,602.62445,21851.88,20646.63,21286.606909797214,21211.904808952786
24,22248.105,632.0016,22880.107,21616.104,22287.27733293999,22208.93360456001
25,23262.514,661.4588,23923.973,22601.055,23303.51131312638,23221.51603062362
26,24292.32,691.57,24983.89,23600.75,24335.184265638236,24249.456359361764
27,25339.236,722.44305,26061.68,24616.793,25384.013812533343,25294.458843716657
28,26403.27,753.4768,27156.746,25649.793,26449.970507562655,26356.568554937345
29,27486.998,785.17786,28272.176,26701.82,27535.66387461104,27438.33221913896
30,28590.725,817.4503,29408.176,27773.273,28641.39070496336,28540.05851378664
31,29714.682,849.88495,30564.566,28864.797,29767.35805549184,29662.00522575816
32,30860.531,882.40247,31742.934,29978.129,30915.223121456846,30805.839378543154
33,32029.488,916.2395,32945.727,31113.248,32086.277393934448,31972.699168565552
34,33222.164,950.5145,34172.68,32271.65,33281.07756320697,33163.25056179303
35,34438.99,985.4902,35424.477,33453.5,34500.06959501557,34377.90696748443
36,35680.52,1020.6443,36701.164,34659.875,35743.77971956085,35617.25934293915
37,36948.613,1057.1852,38005.797,35891.43,37014.13829760771,36883.08826489229
38,38242.695,1094.1343,39336.83,37148.562,38310.510457596385,38174.880167403615
39,39564.84,1131.409,40696.25,38433.43,39634.96530366333,39494.71438383667
40,40914.727,1169.0822,42083.81,39745.645,40987.18702507639,40842.26609992361
41,42293.125,1207.8219,43500.945,41085.305,42367.986576915595,42218.263423084405
42,43700.574,1246.5258,44947.1,42454.047,43777.83468560187,43623.31375189813
43,45137.008,1285.0292,46422.035,43851.98,45216.65474592213,45057.36087907787
44,46603.223,1324.1255,47927.348,45279.098,46685.292804286684,46521.152508213316
45,48099.703,1362.9382,49462.64,46736.766,48184.17891184171,48015.22733815829
46,49628.08,1401.2241,51029.3,48226.855,49714.926895806464,49541.229354193536
47,51187.008,1439.7856,52626.793,49747.223,51276.246651290996,51097.768973709004
48,52778.242,1478.1517,54256.395,51300.09,52869.85898111536,52686.62539388464
49,54402.227,1515.892,55918.117,52886.336,54496.18252007641,54308.27060492359
50,56060.69,1553.8118,57614.504,54506.88,56156.99765736809,55964.38515513191
51,57753.316,1591.5272,59344.844,56161.79,57851.96028543188,57654.67252706812
52,59482.52,1629.4073,61111.926,57853.113,59583.511245024754,59381.527817475246
53,61248.742,1666.7374,62915.48,59582.004,61352.047643488055,61145.436731511945
54,63054.316,1703.8661,64758.184,61350.45,63159.92312055737,62948.70969194263
55,64899.664,1740.4526,66640.12,63159.21,65007.538434536866,64791.789690463134
56,66786.18,1776.4652,68562.65,65009.715,66896.28614195151,66676.07323304849
57,68715.586,1813.0017,70528.586,66902.586,68827.9569476225,68603.2149273775
58,70690.18,1848.9534,72539.13,68841.23,70804.77900460496,70575.58037039504
59,72712.24,1884.4746,74596.72,70827.766,72829.04313388428,72595.44124111572
60,74782.53,1919.8009,76702.336,72862.73,74901.5217427674,74663.5407572326
61,76904.83,1956.0392,78860.87,74948.79,77026.0646897093,76783.5915602907
62,79080.69,1992.0056,81072.695,77088.68,79204.15328717732,78957.22171282268
63,81311.85,2029.379,83341.234,79282.47,81437.63377781933,81186.06934718067
64,83605.695,2066.5525,85672.25,81539.14,83733.7815628593,83477.6090621407
65,85963.09,2105.5012,88068.59,83857.59,86093.59406768426,85832.59343231574
66,88387.83,2145.3647,90533.195,86242.46,88520.79920958591,88254.85704041409
67,90886.484,2186.2354,93072.72,88700.25,91021.98864595748,90750.98010404252
68,93462.805,2227.2336,95690.04,91235.57,93600.85005886125,93324.75931613875
69,96122.18,2268.6592,98390.836,93853.52,96262.79264025224,95981.56673474776
70,98869.62,2311.3508,101180.97,96558.266,99012.87619615745,98726.35817884255
71,101710.68,2355.8215,104066.5,99354.86,101856.69501889352,101564.66435610648
72,104652.88,2403.7231,107056.61,102249.16,104801.86711652315,104503.89850847685
73,107701.99,2455.5117,110157.5,105246.484,107854.1863806087,107549.7979943913
74,110868.12,2511.5005,113379.62,108356.62,111023.78160049683,110712.45277450317
75,114160.76,2571.651,116732.41,111589.11,114320.1503853327,114001.3652396673
76,117588.67,2635.945,120224.62,114952.73,117752.04944298083,117425.29430701917
77,121163.79,2705.206,123868.99,118458.586,121331.45947088866,120996.11865411134
78,124898.22,2779.1323,127677.35,122119.086,125070.47115604517,124725.96634395483
79,128807.05,2857.9963,131665.05,125949.05,128984.18732325423,128629.90642674577
80,132906.67,2941.294,135847.97,129965.375,133088.9751624509,132724.3685875491
81,137215.97,3029.737,140245.7,134186.23,137403.75379852593,137028.18370147407
82,141761.25,3123.3015,144884.55,138637.95,141954.83423341202,141567.66576658798
83,146572.17,3223.555,149795.73,143348.61,146771.9698796344,146372.3738703656
84,151693.95,3331.0156,155024.97,148362.94,151900.41161241353,151487.49463758647
85,157180.9,3448.3386,160629.25,153732.56,157394.6364921702,156967.1760078298
86,163109.78,3576.305,166686.1,159533.47,163331.44292614903,162888.11957385097
87,169560.31,3710.3286,173270.64,165849.98,169790.281049999,169330.343950001
88,176614.42,3857.3862,180471.81,172757.03,176853.50515054376,176375.33859945624
