timestep,mean,std,mean_plus_std,mean_minus_std,ci_upper,ci_lower
0,1598.3674,25.17543,1623.5428,1573.192,1599.927820976619,1596.807042304631
1,2085.8787,26.249496,2112.1282,2059.6292,2087.5056227557966,2084.2517014629534
2,2584.18,40.70418,2624.884,2543.4758,2586.702802958357,2581.657060322893
3,3093.9683,58.74026,3152.7085,3035.228,3097.609020819787,3090.327502617713
4,3614.7695,77.42816,3692.1978,3537.3413,3619.568578426941,3609.970484073059
5,4147.3687,96.61722,4243.986,4050.7515,4153.357049558193,4141.380255129307
6,4690.8545,116.14147,4806.996,4574.713,4698.0530151925595,4683.6559691824405
7,5246.061,136.08853,5382.1494,5109.9727,5254.495889726051,5237.626180586449
8,5812.427,156.28589,5968.713,5656.1406,5822.113457549694,5802.740058075306
9,6391.077,176.99533,6568.0723,6214.082,6402.047432696795,6380.106864178205
10,6981.565,198.53719,7180.102,6783.028,6993.87040366254,6969.25947914996
11,7585.317,220.23178,7805.549,7365.085,7598.967001737475,7571.666787325025
12,8202.815,242.58786,8445.403,7960.2275,8217.851181032156,8187.779678342843
13,8834.008,265.5151,9099.522,8568.493,8850.464609280034,8817.551015719966
14,9479.715,289.35333,9769.068,9190.361,9497.649149104707,9461.780538395293
15,10141.54,313.90448,10455.444,9827.636,10160.996040302092,10122.084037822908
16,10820.398,339.7191,11160.117,10480.68,10841.45444457825,10799.34243042175
17,11516.831,366.44788,11883.279,11150.383,11539.54372935111,11494.11838002389
18,12231.711,393.7509,12625.462,11837.96,12256.115870195823,12207.306004804177
19,12965.544,422.0834,13387.627,12543.461,12991.704945762294,12939.382944862706
20,13718.878,450.8411,14169.719,13268.037,13746.821350256569,13690.934509118431
21,14492.744,481.401,14974.1455,14011.343,14522.581683792028,14462.906597457972
22,15287.995,513.09045,15801.086,14774.904,15319.79679300826,15256.19344136674
23,16104.983,546.26685,16651.25,15558.717,16138.84136831359,16071.12542856141
24,16943.752,581.1884,17524.94,16362.563,16979.774384323307,16907.729521926693
25,17805.068,617.4587,18422.527,17187.61,17843.33884480625,17766.79787394375
26,18689.578,655.53876,19345.117,18034.04,18730.208838126153,18648.947411873847
27,19598.008,694.0367,20292.045,18903.97,19641.02465172658,19554.99097327342
28,20530.924,733.89624,21264.82,19797.027,20576.411188358346,20485.436467891654
29,21488.213,775.2151,22263.428,20712.998,21536.261219568536,21440.164561681464
30,22471.438,816.1745,23287.611,21655.264,22522.02451957746,22420.85048042254
31,23479.465,857.9689,24337.434,22621.496,23532.64230537645,23426.28738212355
32,24513.045,900.20825,25413.254,23612.836,24568.84040739015,24457.24943635985
33,25572.834,942.27185,26515.105,24630.562,25631.236598744104,25514.431370005896
34,26657.84,984.92346,27642.764,25672.916,26718.886032377497,26596.793655122503
35,27769.098,1028.4802,28797.578,26740.617,27832.84352099886,27705.35179150114
36,28907.014,1071.5522,29978.566,27835.46,28973.4291681737,28840.5981755763
37,30071.287,1114.104,31185.39,28957.184,30140.339990947075,30002.234227802925
38,31262.082,1156.9519,32419.033,30105.13,31333.790653202606,31190.373409297394
39,32480.1,1199.1692,33679.27,31280.93,32554.424885770968,32405.774332979032
40,33724.977,1240.9865,34965.965,32483.99,33801.89369956928,33648.05942543072
41,34998.375,1281.7367,36280.113,33716.637,35077.817863368444,34918.932136631556
42,36298.84,1321.3154,37620.156,34977.523,36380.735822550596,36216.943864949404
43,37627.54,1359.184,38986.723,36268.355,37711.78215712382,37543.29596787618
44,38985.344,1394.9045,40380.25,37590.438,39071.800829175176,38898.886670824824
45,40373.223,1429.0072,41802.23,38944.215,40461.793440260844,40284.651872239156
46,41790.87,1460.949,43251.82,40329.92,41881.421649329044,41700.320538170956
47,43239.535,1491.2921,44730.83,41748.242,43331.96639910898,43147.10391339102
48,44720.293,1518.4132,46238.707,43201.88,44814.40519441512,44626.18074308488
49,46235.15,1543.1497,47778.297,44692.0,46330.793844232474,46139.503030767526
50,47784.203,1566.2162,49350.418,46217.99,47881.278209969685,47687.128040030315
51,49369.688,1585.9034,50955.59,47783.785,49467.98281372981,49271.39218627019
52,50992.293,1603.5581,52595.85,49388.734,51091.68252983463,50892.90340766537
53,52653.51,1619.3903,54272.902,51034.12,52753.882566863875,52553.140870636125
54,54353.9,1632.5643,55986.46,52721.336,54455.085823072484,54252.711051927516
55,56095.33,1645.6694,57740.996,54449.66,56197.32777324316,55993.32847675684
56,57879.72,1656.747,59536.465,56222.973,57982.40498971438,57777.03251028562
